"관리번호","자치구","와이파이명","도로명주소","상세주소","설치위치(층)","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","wifi접속환경","X좌표","Y좌표","작업일자"
"BS100171","강서구","KBS스포츠월드","등촌동 665-13","16-009","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.850464","37.556602","2022-03-06 10:57:49.0"
"BS100172","강서구","KBS스포츠월드","화곡동 1136-1","16-010","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.849236","37.55691","2022-03-06 10:57:49.0"
"BS100173","강서구","KT가양지사","강서로 442","16-223","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.84044","37.56482","2022-03-06 10:57:49.0"
"BS100174","강서구","KT가양지사","가양동 1070답","16-224","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.840096","37.564888","2022-03-06 10:57:49.0"
"BS100175","강서구","가로공원.나누리병원","가로공원로 184-2","16-199","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83645","37.536827","2022-03-06 10:57:49.0"
"BS100176","강서구","가로공원.나누리병원","가로공원로 181","16-200","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.836296","37.537178","2022-03-06 10:57:49.0"
"BS100177","강서구","가양2단지성지아파트.동양고등학교","허준로 47","16-230","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.84764","37.56948","2022-03-06 10:57:49.0"
"BS100178","강서구","가양2동강변아파트","가양2 1475-4","16-238","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.85564","37.56418","2022-03-06 10:57:49.0"
"BS100179","강서구","가양3동도시개발9단지아파트","가양3 1489-1","16-243","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.863304","37.55981","2022-03-06 10:57:49.0"
"BS100180","강서구","가양도시개발5단지아파트","가양동 1475-3","16-237","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.85513","37.564243","2022-03-06 10:57:49.0"
"BS100181","강서구","가양도시개발9단지.세현고등학교","가양3 1491학","16-244","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.86384","37.55972","2022-03-06 10:57:49.0"
"BS100182","강서구","가양동천주교영등포공업고등학교","가양동 26-28","16-232","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.84965","37.56848","2022-03-06 10:57:49.0"
"BS100183","강서구","가양역.우성아파트","등촌동 73-1","16-259","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.85397","37.56145","2022-03-06 10:57:49.0"
"BS100184","강서구","가양역.우성아파트","가양동 14-38","16-260","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.85339","37.562164","2022-03-06 10:57:49.0"
"BS100185","강서구","가양역.현대아파트","양천로 507","16-258","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.856606","37.56046","2022-03-06 10:57:49.0"
"BS100186","강서구","가양한강타운아파트","허준로 23","16-228","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.84381","37.570507","2022-03-06 10:57:49.0"
"BS100187","강서구","강서공업고등학교","방화3 834-1잡","16-303","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.81652","37.57562","2022-03-06 10:57:49.0"
"BS100188","강서구","강서구청사거리.서울디지털대학교","등촌동 666-61","16-007","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.85578","37.554756","2022-03-06 10:57:49.0"
"BS100189","강서구","강서구청사거리.서울디지털대학교","화곡동 1106-5","16-008","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.85409","37.555237","2022-03-06 10:57:49.0"
"BS100190","강서구","강서면허시험장.메이필드호텔","외발산동281-2","16-153","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.819496","37.549683","2022-03-06 10:57:49.0"
"BS100191","강서구","강서소방서.이마트.증미역","양천로 564","16-256","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.86172","37.55723","2022-03-06 10:57:49.0"
"BS100192","강서구","개화2치안센터","개화동 564-5","16-167","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.8026","37.575195","2022-03-06 10:57:49.0"
