연번,종  류,명  칭,위  치,상세위치,설 치 일,관리부서,설치장소,데이터 기준일자
1,상징조형물,새마을 지도자탑,서울특별시 강서구 화곡동 산60-1,우장 근린공원,1986-01-01,공원녹지과,시유지,2022-02-23
2,상징조형물,구암 허준동상,서울특별시 강서구 가양동 1471,구암 근린공원,1993-01-01,공원녹지과,구유지,2022-02-23
3,상징조형물,누가 바람을 보았는가,서울특별시 강서구 등촌동 630-13,매화 근린공원,1998-01-01,공원녹지과,시유지,2022-02-23
4,조형시설물,황금자 여사 부조상,서울특별시 강서구 화곡로 302,강서구청 본관1층,2007-06-08,교육지원과,구유지,2022-02-23
5,상징조형물,또 다른 우주를 찾아서,서울특별시 강서구 화곡로 302,강서구청 본관앞,2013-07-23,문화체육과,구유지,2022-02-23
6,상징조형물,허준을 만나다,서울특별시 강서구 가양동 1476-2,허준테마거리,2014-05-30,문화체육과,시유지,2022-02-23
7,상징조형물,동의보감 집필의길,서울특별시 강서구 가양동 1469-3,허준테마거리,2016-06-18,문화체육과,구유지,2022-02-23
8,상징조형물,동양의학의 집대성 동의보감,서울특별시 강서구 가양동 1469-2,허준테마거리,2016-06-18,문화체육과,구유지,2022-02-23
9,상징조형물,허준 테마거리 기둥,서울특별시 강서구 가양동 1477-2,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
10,상징조형물,의성 허준과 동의보감을 만나는길,서울특별시 강서구 가양동 1477-1,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
11,상징조형물,허준이야기,서울특별시 강서구 가양동 1477-2,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
12,상징조형물,허준이 들려주는 건강이야기,서울특별시 강서구 가양동 1476-2,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
13,상징조형물,동의보감 집필 이야기,서울특별시 강서구 가양동 1476-2,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
14,상징조형물,"동양의학 최고의 베스트셀러, 동의보감",서울특별시 강서구 가양동 1477-2,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
15,상징조형물,세계인이 주목하는 동의보감,서울특별시 강서구 가양동 1476-1,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
16,상징조형물,고흥석 의자,서울특별시 강서구 가양동 1477-2,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
17,상징조형물,열매의자,서울특별시 강서구 가양동 1477-2,허준테마거리,2016-06-18,문화체육과,시유지,2022-02-23
