"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가양1동001",1,서울특별시 강서구 강서로 527,서울특별시 강서구 가양동 1456-11,37.5725027763,126.8420421666,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동002",1,서울특별시 강서구 강서로 521,서울특별시 강서구 가양동 1457,37.5721764902,126.8416789223,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동003",1,서울특별시 강서구 강서로 521,서울특별시 강서구 가양동 1457,37.5721764902,126.8416789223,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동004",1,서울특별시 강서구 강서로 519-42,서울특별시 강서구 가양동 225-1,37.5718989830,126.8410746921,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동005",1,서울특별시 강서구 강서로 519-17,서울특별시 강서구 가양동 198-5,37.5716603384,126.8408953280,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동006",1,서울특별시 강서구 양천로49길 56-2,서울특별시 강서구 가양동 195-1,37.5715892629,126.8407713013,,통신주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동007",1,서울특별시 강서구 강서로 519-54,서울특별시 강서구 가양동 231-9,37.5715364518,126.8405615454,,통신주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동008",1,서울특별시 강서구 양천로49길 56-13,서울특별시 강서구 가양동 238-1,37.5717991795,126.8402932721,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동009",1,서울특별시 강서구 양천로47나길 48-13,서울특별시 강서구 가양동 231-18,37.5720433178,126.8402702243,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동010",1,서울특별시 강서구 양천로47나길 48-6,서울특별시 강서구 가양동 236-4,37.5723429322,126.8400290370,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동011",1,서울특별시 강서구 양천로47나길 48-6,서울특별시 강서구 가양동 231-4,37.5723429322,126.8400290370,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동012",1,서울특별시 강서구 양천로47나길 48-1,서울특별시 강서구 가양동 232-4,37.5726643386,126.8403113477,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동013",1,서울특별시 강서구 양천로47나길 52-14,서울특별시 강서구 가양동 231-1,37.5731097217,126.8404607263,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동014",1,서울특별시 강서구 양천로47나길 52-3,서울특별시 강서구 가양동 232-4,,,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동015",1,서울특별시 강서구 양천로47나길 53,서울특별시 강서구 가양동 234,37.5728947177,126.8399748793,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동016",1,서울특별시 강서구 양천로47나길 45,서울특별시 강서구 가양동 235-2,37.5727236820,126.8398220865,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동017",1,서울특별시 강서구 양천로47나길 42,서울특별시 강서구 가양동 236-2,37.5722358002,126.8398933145,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동018",1,서울특별시 강서구 양천로49길 80,서울특별시 강서구 가양동 236-7,37.5720762889,126.8397344991,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동020",1,서울특별시 강서구 양천로49길 80,서울특별시 강서구 가양동 236-7,37.5720762889,126.8397344991,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동021",1,서울특별시 강서구 양천로49길 68-2,서울특별시 강서구 가양동 238-10,37.5716900693,126.8402268316,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동022",1,서울특별시 강서구 양천로49길 56-3,서울특별시 강서구 가양동 238-7,37.5714566118,126.8404193132,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동023",1,서울특별시 강서구 양천로49길 54,서울특별시 강서구 가양동 194-2,37.5711015930,126.8407997332,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동024",1,서울특별시 강서구 강서로 511-11,서울특별시 강서구 가양동 197-4,37.5711637366,126.8411155338,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동025",1,서울특별시 강서구 강서로 511-18,서울특별시 강서구 가양동 198-8,37.5715078549,126.8411367631,,건축물,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동026",1,서울특별시 강서구 강서로 511-11,서울특별시 강서구 가양동 197-4,37.5711637366,126.8411155338,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동027",1,서울특별시 강서구 강서로 505,서울특별시 강서구 가양동 190,37.5705593213,126.8414295786,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동028",1,서울특별시 강서구 양천로49길 34,서울특별시 강서구 가양동 187-7,37.5702205539,126.8408987303,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동029",1,서울특별시 강서구 양천로49길 44,서울특별시 강서구 가양동 192-5,37.5707566642,126.8407120610,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동030",1,서울특별시 강서구 양천로49길 34,서울특별시 강서구 가양동 187-7,37.5702205539,126.8408987303,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동031",1,서울특별시 강서구 양천로49길 30,서울특별시 강서구 가양동 187-4,37.5700032234,126.8410915114,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동032",1,서울특별시 강서구 강서로 489,서울특별시 강서구 가양동 155-4,37.5690698178,126.8411099075,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동033",1,서울특별시 강서구 양천로49길 7,서울특별시 강서구 가양동 179-3,37.5690978899,126.8406799375,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동034",1,서울특별시 강서구 양천로49길 11,서울특별시 강서구 가양동 184-4,37.5692760655,126.8407830174,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동035",1,서울특별시 강서구 양천로49길 17,서울특별시 강서구 가양동 184-6,37.5694779635,126.8407051626,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동036",1,서울특별시 강서구 양천로49길 23,서울특별시 강서구 가양동 184-1,37.5697030728,126.8406686873,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동037",1,서울특별시 강서구 양천로49길 29,서울특별시 강서구 가양동 272-11,37.5699783224,126.8405320403,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동038",1,,서울특별시 강서구 가양동 272-11,37.5701881708,126.8395396603,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동039",1,서울특별시 강서구 양천로 333-4,서울특별시 강서구 가양동 183-1,37.5694774164,126.8403668255,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동040",1,서울특별시 강서구 양천로 331,서울특별시 강서구 가양동 183-4,37.5693881569,126.8399889469,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동042",1,서울특별시 강서구 양천로 333-4,서울특별시 강서구 가양동 183-1,37.5694774164,126.8403668255,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동043",1,서울특별시 강서구 양천로49길 7,서울특별시 강서구 가양동 179-3,37.5690978899,126.8406799375,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동044",1,서울특별시 강서구 양천로 329,서울특별시 강서구 가양동 272-11,37.5701881708,126.8395396603,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동045",1,서울특별시 강서구 양천로49길 29,서울특별시 강서구 가양동 275-5,37.5699783224,126.8405320403,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동046",1,서울특별시 강서구 양천로49길 35,서울특별시 강서구 가양동 276-2,37.5701974926,126.8405011234,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동047",1,서울특별시 강서구 양천로49길 39,서울특별시 강서구 가양동 277-1,37.5704181731,126.8405211412,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동048",1,서울특별시 강서구 양천로49길 47,서울특별시 강서구 가양동 250-2,37.5708355873,126.8403755860,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동049",1,서울특별시 강서구 양천로49길 49-4,서울특별시 강서구 가양동 251-5,37.5710434184,126.8402214212,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동050",1,서울특별시 강서구 양천로49길 53,서울특별시 강서구 가양동 249-7,37.5710460009,126.8403987951,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동051",1,서울특별시 강서구 양천로47가길 44,서울특별시 강서구 가양동 249-3,37.5711537111,126.8401630023,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동052",1,서울특별시 강서구 양천로47가길 39,서울특별시 강서구 가양동 239-22,37.5711769322,126.8398124946,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동053",1,서울특별시 강서구 양천로47가길 33,서울특별시 강서구 가양동 248-2,37.5711193457,126.8396038828,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동054",1,서울특별시 강서구 양천로49길 39-59,서울특별시 강서구 가양동 273-4,37.5706074842,126.8393339888,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동056",1,서울특별시 강서구 양천로49길 39-18,서울특별시 강서구 가양동 251-9,37.5708189283,126.8397174971,,건축물,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동057",1,서울특별시 강서구 양천로49길 39-16,서울특별시 강서구 가양동 251-8,37.5708124859,126.8398168975,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동058",1,서울특별시 강서구 양천로49길 49-6,서울특별시 강서구 가양동 251-5,37.5709015327,126.8401037734,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동059",1,서울특별시 강서구 양천로49길 39-45,서울특별시 강서구 가양동 274-7,37.5703798519,126.8400335753,,건축물,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동061",1,서울특별시 강서구 양천로49길 39-39,서울특별시 강서구 가양동 275-1,37.5703798519,126.8400335753,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동062",1,서울특별시 강서구 양천로49길 43,서울특별시 강서구 가양동 250-1,37.5706442570,126.8403392056,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동063",1,서울특별시 강서구 양천로49길 39-8,서울특별시 강서구 가양동 274-6,37.5706034117,126.8401170887,,건축물,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동064",1,서울특별시 강서구 양천로47가길 19,서울특별시 강서구 가양동 254-1,37.5710339919,126.8387883695,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동065",1,,서울특별시 강서구 가양동 270-8,37.5705556757,126.8388702225,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동066",1,서울특별시 강서구 양천로 311,서울특별시 강서구 가양동 272-31,37.5704960243,126.8380759414,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동067",1,서울특별시 강서구 양천로 311,서울특별시 강서구 가양동 272-31,37.5704960243,126.8380759414,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동068",1,서울특별시 강서구 양천로47가길 29,서울특별시 강서구 가양동 253,37.5710485962,126.8393893001,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동069",1,서울특별시 강서구 양천로47가길 19,서울특별시 강서구 가양동 254-1,37.5710339919,126.8387883695,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동070",1,서울특별시 강서구 양천로47가길 19,서울특별시 강서구 가양동 254-1,37.5710339919,126.8387883695,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동071",1,서울특별시 강서구 양천로47가길 19,서울특별시 강서구 가양동 254-1,37.5710339919,126.8387883695,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동072",1,서울특별시 강서구 양천로47길 12,서울특별시 강서구 가양동 257-1,37.5710760712,126.8384609134,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동073",1,서울특별시 강서구 양천로47길 12,서울특별시 강서구 가양동 257-1,37.5710760712,126.8384609134,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동075",1,서울특별시 강서구 양천로47나길 17,서울특별시 강서구 마곡동 12-4,37.5716689710,126.8386919147,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동076",1,서울특별시 강서구 양천로47나길 13-8,서울특별시 강서구 마곡동 14-21,37.5717468251,126.8381054948,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동077",1,서울특별시 강서구 양천로47나길 21-1,서울특별시 강서구 마곡동 12-1,37.5718163325,126.8388596959,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동078",1,서울특별시 강서구 양천로47나길 21-22,서울특별시 강서구 가양동 242-2,37.5719930910,126.8390456394,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동079",1,서울특별시 강서구 양천로47나길 27,서울특별시 강서구 가양동 240,37.5719135223,126.8391698759,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동080",1,서울특별시 강서구 양천로47가길 39-28,서울특별시 강서구 가양동 239-2,37.5718088973,126.8393540476,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동081",1,서울특별시 강서구 양천로47가길 39-11,서울특별시 강서구 가양동 239-18,37.5715002579,126.8394505888,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동082",1,서울특별시 강서구 양천로47가길 39,서울특별시 강서구 가양동 239-22,37.5711769322,126.8398124946,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동083",1,서울특별시 강서구 양천로49길 77,서울특별시 강서구 가양동 239-1,37.5718374408,126.8395395179,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동084",1,서울특별시 강서구 양천로49길 80,서울특별시 강서구 가양동 236-7,37.5720762889,126.8397344991,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동085",1,서울특별시 강서구 양천로47나길 39,서울특별시 강서구 가양동 235-4,37.5723869958,126.8395679969,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동086",1,서울특별시 강서구 양천로47나길 39,서울특별시 강서구 가양동 235-4,37.5723869958,126.8395679969,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동087",1,서울특별시 강서구 양천로49길 87,서울특별시 강서구 가양동 241-1,37.5721791090,126.8392828429,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동088",1,서울특별시 강서구 양천로47나길 21-24,서울특별시 강서구 가양동 242-3,37.5720891066,126.8390233591,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동089",1,서울특별시 강서구 양천로47나길 21-24,서울특별시 강서구 가양동 242-3,37.5720891066,126.8390233591,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동090",1,서울특별시 강서구 양천로47길 36,서울특별시 강서구 마곡동 243-1,37.5722229700,126.8384120248,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동091",1,서울특별시 강서구 양천로49길 106,서울특별시 강서구 마곡동 산3,37.5726675473,126.8383657846,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동092",1,서울특별시 강서구 양천로49길 106,서울특별시 강서구 마곡동 산3,37.5726675473,126.8383657846,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동093",1,서울특별시 강서구 양천로47길 40,서울특별시 강서구 마곡동 9,37.5723464780,126.8378729316,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동094",1,서울특별시 강서구 양천로47길 40,서울특별시 강서구 마곡동 9,37.5723464780,126.8378729316,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동095",1,서울특별시 강서구 양천로47길 40,서울특별시 강서구 마곡동 9,37.5723464780,126.8378729316,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동101",1,서울특별시 강서구 양천로47길 60-24,서울특별시 강서구 마곡동 8-1,37.5731729123,126.8377072264,,통신주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동103",1,서울특별시 강서구 양천로47길 60-28,서울특별시 강서구 마곡동 7-7,37.5733513519,126.8377383089,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동104",1,서울특별시 강서구 양천로47길 60-32,서울특별시 강서구 마곡동 7-6,37.5735036788,126.8377156778,,통신주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동108",1,서울특별시 강서구 양천로47길 80-10,서울특별시 강서구 마곡동 717,37.5740033617,126.8377751562,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동109",1,서울특별시 강서구 양천로47길 60-44,서울특별시 강서구 마곡동 5-34,37.5740735018,126.8380031050,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동110",1,서울특별시 강서구 양천로47길 60-44,서울특별시 강서구 마곡동 5-34,37.5740735018,126.8380031050,,건축물,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동111",1,서울특별시 강서구 양천로47길 60-44,서울특별시 강서구 마곡동 산2-7,37.5740735018,126.8380031050,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동122",1,서울특별시 강서구 양천로47길 120-37,서울특별시 강서구 마곡동 406-3,37.5765977425,126.8378185460,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동123",1,서울특별시 강서구 양천로47길 120-37,서울특별시 강서구 마곡동 406-3,37.5765977425,126.8378185460,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동124",1,서울특별시 강서구 양천로47길 118,서울특별시 강서구 마곡동 429,37.5756401883,126.8368535227,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동148",1,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 25-14,37.5722444079,126.8328428313,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동149",1,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 69-14,37.5722444079,126.8328428313,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동150",1,서울특별시 강서구 양천로 255,서울특별시 강서구 마곡동 69-14,37.5736649583,126.8319847638,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동151",1,서울특별시 강서구 양천로 255,서울특별시 강서구 마곡동 69-14,37.5736649583,126.8319847638,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동152",1,서울특별시 강서구 양천로 201-1,서울특별시 강서구 마곡동 69-1,37.5747436317,126.8328123406,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동154",1,서울특별시 강서구 강서로74길 8,서울특별시 강서구 가양동 161-3,37.5676454165,126.8414982377,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동155",1,서울특별시 강서구 강서로74길 12,서울특별시 강서구 가양동 129-4,37.5674886519,126.8417060498,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동156",1,서울특별시 강서구 강서로74길 20,서울특별시 강서구 가양동 129-12,37.5672770439,126.8420690489,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동157",1,서울특별시 강서구 강서로74길 28,서울특별시 강서구 가양동 116-2,37.5670958914,126.8424343587,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동158",1,서울특별시 강서구 양천로 364,서울특별시 강서구 가양동 106-1,37.5673142796,126.8426272292,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동159",1,서울특별시 강서구 양천로 366,서울특별시 강서구 가양동 105-3,37.5672294911,126.8428941990,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동160",1,서울특별시 강서구 강서로74길 40,서울특별시 강서구 가양동 115-10,37.5668358316,126.8430863177,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동161",1,서울특별시 강서구 강서로68길 35,서울특별시 강서구 가양동 115-9,37.5662807913,126.8430657495,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동162",1,서울특별시 강서구 강서로74길 38,서울특별시 강서구 가양동 115-2,37.5666079030,126.8428327971,,통신주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동163",1,서울특별시 강서구 강서로74길 50,서울특별시 강서구 가양동 115-6,37.5665295049,126.8437744764,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동164",1,서울특별시 강서구 강서로74길 50,서울특별시 강서구 가양동 99-3,,,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동165",1,서울특별시 강서구 강서로74길 50,서울특별시 강서구 가양동 99-3,,,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동166",1,서울특별시 강서구 강서로74길 50,서울특별시 강서구 가양동 99-3,,,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동167",1,서울특별시 강서구 강서로74길 58,서울특별시 강서구 가양동 110-2,37.5659787907,126.8441638654,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동168",1,서울특별시 강서구 강서로74길 42-11,서울특별시 강서구 가양동 110-1,37.5662776790,126.8437081072,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동169",1,서울특별시 강서구 강서로68길 36,서울특별시 강서구 가양동 110-1,37.5653868266,126.8422565177,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동175",1,서울특별시 강서구 허준로 76,서울특별시 강서구 가양동 1495,37.5684141695,126.8486573027,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동176",1,서울특별시 강서구 허준로 76,서울특별시 강서구 가양동 1495,37.5684141695,126.8486573027,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동177",1,서울특별시 강서구 양천로53길 66,서울특별시 강서구 가양동 1497,37.5673236869,126.8485805016,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동178",1,서울특별시 강서구 양천로53길 52,서울특별시 강서구 가양동 30-10,37.5669774057,126.8479971385,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동179",1,서울특별시 강서구 양천로53길 52,서울특별시 강서구 가양동 30-10,37.5669774057,126.8479971385,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동180",1,서울특별시 강서구 양천로 373,서울특별시 강서구 가양동 92-1,37.5674066155,126.8471409925,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동181",1,서울특별시 강서구 양천로 373,서울특별시 강서구 가양동 92-1,37.5674066155,126.8471409925,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동182",1,서울특별시 강서구 양천로 373,서울특별시 강서구 가양동 92-1,37.5674066155,126.8471409925,,전용주,02-2600-6582,서울특별시 강서구청,2021-03-19
"가양1동183",1,서울특별시 강서구 양천로 373,서울특별시 강서구 가양동 92-1,37.5674066155,126.8471409925,,한전주,02-2600-6582,서울특별시 강서구청,2021-03-19
