"스마트가로등유형",시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 2-17,37.576315,,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 2-17,37.576181,126.837296,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 2-17,37.532011,126.845162,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 2-17,37.535956,126.842193,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.530656,126.844245,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.537672,126.858851,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.553499,126.866015,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.551503,126.865085,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.552148,126.864947,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,,126.836922,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.574217,126.837061,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.573948,126.837157,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.573677,126.837165,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.573459,,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.573281,126.837153,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.572892,126.837127,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,,126.837119,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.572478,126.837134,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,,126.837201,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
01,서울특별시,강서구,양천로47길,,서울특별시 강서구 마곡동 407-6,37.571856,126.837465,01,Y,속도센서+전류센서,도로조명,N,N,N,N,Y,N,,,전력사용량정보+고장정보,2020,서울특별시 강서구청,02-2600-6943,2021-03-19
