,다중시설 총합,공공설치물 총합,전체인구,공공설치물 지수,행정동
0,122,0.003401360544217687,34395,0.3978905436355068,가양1동
1,45,0.05,14109,0.20705703064737518,가양2동
2,56,0.020833333333333332,15138,0.13421818609836317,가양3동
3,257,0.0013297872340425532,31483,0.5958877863498464,공항동
4,34,0.002890173410404624,24436,0.1331952755733199,등촌1동
5,29,0.0023584905660377358,20423,0.07886163465710662,등촌2동
6,139,0.010638297872340425,30714,0.4133240655990374,등촌3동
7,61,0.003067484662576687,36572,0.3132972086643087,발산1동
8,125,0.0015479876160990713,43181,0.49220285140073317,방화1동
9,59,0.001277139208173691,23656,0.16288527702822425,방화2동
10,65,0.0064516129032258064,22924,0.183789331594064,방화3동
11,146,0.0023094688221709007,41764,0.5163517032986561,염창동
12,73,0.0019455252918287938,43129,0.4017462781169314,우장산동
13,81,0.000980392156862745,52770,0.5172891964039291,화곡1동
14,81,0.0024096385542168677,18096,0.14501898115425585,화곡2동
15,26,0.0030959752321981426,21661,0.08967994307469422,화곡3동
16,88,0.0018796992481203006,20820,0.18507499801610283,화곡4동
17,72,0.0019047619047619048,25096,0.20360463624063108,화곡6동
18,69,0.001838235294117647,24789,0.194760752275211,화곡8동
19,56,0.0012706480304955528,34612,0.27682204853356507,화곡본동
