,카테고리,위도,경도
0,보안등,37.5725027763,126.8420421666
1,보안등,37.5721764902,126.84167892229999
2,보안등,37.5721764902,126.84167892229999
3,보안등,37.571898983000004,126.8410746921
4,보안등,37.5716603384,126.84089532799999
5,보안등,37.5715892629,126.8407713013
6,보안등,37.5715364518,126.8405615454
7,보안등,37.5717991795,126.84029327209998
8,보안등,37.5720433178,126.8402702243
9,보안등,37.572342932199994,126.84002903700001
10,보안등,37.572342932199994,126.84002903700001
11,보안등,37.5726643386,126.84031134770001
12,보안등,37.5731097217,126.8404607263
13,보안등,,
14,보안등,37.5728947177,126.8399748793
15,보안등,37.572723681999996,126.83982208649999
16,보안등,37.5722358002,126.8398933145
17,보안등,37.5720762889,126.8397344991
18,보안등,37.5720762889,126.8397344991
19,보안등,37.5716900693,126.84022683159999
20,보안등,37.571456611799995,126.8404193132
21,보안등,37.571101593,126.8407997332
22,보안등,37.5711637366,126.8411155338
23,보안등,37.5715078549,126.8411367631
24,보안등,37.5711637366,126.8411155338
25,보안등,37.5705593213,126.8414295786
26,보안등,37.5702205539,126.84089873030001
27,보안등,37.5707566642,126.840712061
28,보안등,37.5702205539,126.84089873030001
29,보안등,37.5700032234,126.8410915114
30,보안등,37.5690698178,126.8411099075
31,보안등,37.5690978899,126.8406799375
32,보안등,37.5692760655,126.8407830174
33,보안등,37.5694779635,126.8407051626
34,보안등,37.5697030728,126.8406686873
35,보안등,37.5699783224,126.8405320403
36,보안등,37.5701881708,126.8395396603
37,보안등,37.5694774164,126.8403668255
38,보안등,37.569388156900004,126.83998894690001
39,보안등,37.5694774164,126.8403668255
40,보안등,37.5690978899,126.8406799375
41,보안등,37.5701881708,126.8395396603
42,보안등,37.5699783224,126.8405320403
43,보안등,37.5701974926,126.8405011234
44,보안등,37.5704181731,126.84052114120001
45,보안등,37.5708355873,126.84037558600001
46,보안등,37.5710434184,126.84022142120001
47,보안등,37.571046000900004,126.8403987951
48,보안등,37.5711537111,126.8401630023
49,보안등,37.5711769322,126.8398124946
50,보안등,37.571119345700005,126.8396038828
51,보안등,37.5706074842,126.83933398879999
52,보안등,37.5708189283,126.8397174971
53,보안등,37.5708124859,126.8398168975
54,보안등,37.5709015327,126.8401037734
55,보안등,37.5703798519,126.84003357530001
56,보안등,37.5703798519,126.84003357530001
57,보안등,37.570644257,126.84033920559999
58,보안등,37.5706034117,126.84011708870001
59,보안등,37.5710339919,126.83878836950001
60,보안등,37.5705556757,126.8388702225
61,보안등,37.5704960243,126.83807594139999
62,보안등,37.5704960243,126.83807594139999
63,보안등,37.5710485962,126.8393893001
64,보안등,37.5710339919,126.83878836950001
65,보안등,37.5710339919,126.83878836950001
66,보안등,37.5710339919,126.83878836950001
67,보안등,37.5710760712,126.8384609134
68,보안등,37.5710760712,126.8384609134
69,보안등,37.571668971,126.8386919147
70,보안등,37.5717468251,126.83810549479999
71,보안등,37.5718163325,126.8388596959
72,보안등,37.571993090999996,126.8390456394
73,보안등,37.5719135223,126.8391698759
74,보안등,37.5718088973,126.8393540476
75,보안등,37.5715002579,126.83945058879999
76,보안등,37.5711769322,126.8398124946
77,보안등,37.571837440799996,126.83953951790001
78,보안등,37.5720762889,126.8397344991
79,보안등,37.5723869958,126.8395679969
80,보안등,37.5723869958,126.8395679969
81,보안등,37.572179109000004,126.8392828429
82,보안등,37.5720891066,126.8390233591
83,보안등,37.5720891066,126.8390233591
84,보안등,37.57222297,126.8384120248
85,보안등,37.5726675473,126.83836578459999
86,보안등,37.5726675473,126.83836578459999
87,보안등,37.572346478,126.8378729316
88,보안등,37.572346478,126.8378729316
89,보안등,37.572346478,126.8378729316
90,보안등,37.5731729123,126.8377072264
91,보안등,37.5733513519,126.8377383089
92,보안등,37.5735036788,126.8377156778
93,보안등,37.5740033617,126.83777515620001
94,보안등,37.5740735018,126.838003105
95,보안등,37.5740735018,126.838003105
96,보안등,37.5740735018,126.838003105
97,보안등,37.5765977425,126.83781854600001
98,보안등,37.5765977425,126.83781854600001
99,보안등,37.5756401883,126.83685352270001
100,보안등,37.5722444079,126.83284283129998
101,보안등,37.5722444079,126.83284283129998
102,보안등,37.5736649583,126.8319847638
103,보안등,37.5736649583,126.8319847638
104,보안등,37.5747436317,126.8328123406
105,보안등,37.5676454165,126.84149823770001
106,보안등,37.5674886519,126.8417060498
107,보안등,37.5672770439,126.8420690489
108,보안등,37.5670958914,126.8424343587
109,보안등,37.5673142796,126.8426272292
110,보안등,37.5672294911,126.842894199
111,보안등,37.566835831599995,126.8430863177
112,보안등,37.5662807913,126.84306574950001
113,보안등,37.566607903000005,126.84283279709999
114,보안등,37.5665295049,126.8437744764
115,보안등,,
116,보안등,,
117,보안등,,
118,보안등,37.5659787907,126.8441638654
119,보안등,37.566277679,126.84370810719999
120,보안등,37.5653868266,126.84225651770001
121,보안등,37.568414169499995,126.8486573027
122,보안등,37.568414169499995,126.8486573027
123,보안등,37.567323686900004,126.8485805016
124,보안등,37.5669774057,126.8479971385
125,보안등,37.5669774057,126.8479971385
126,보안등,37.567406615500005,126.8471409925
127,보안등,37.567406615500005,126.8471409925
128,보안등,37.567406615500005,126.8471409925
129,보안등,37.567406615500005,126.8471409925
130,보안등,37.567406615500005,126.8471409925
131,보안등,37.5664417853,126.8458592776
132,보안등,37.5664417853,126.8458592776
133,보안등,37.5664417853,126.8458592776
134,보안등,37.5683220355,126.8424870139
135,보안등,37.5684506077,126.8427575006
136,보안등,37.5685990888,126.8427553774
137,보안등,37.5684506077,126.8427575006
138,보안등,37.5678475607,126.8428845247
139,보안등,37.5682723137,126.8428348465
140,보안등,37.567406615500005,126.8471409925
141,보안등,37.5686437308,126.8429906123
142,보안등,37.568877051,126.843097996
143,보안등,37.569062968000004,126.8429939204
144,보안등,37.5691540537,126.8426518834
145,보안등,37.56923236,126.8423891083
146,보안등,37.5690592105,126.8418662913
147,보안등,37.5690592105,126.8418662913
148,보안등,37.569450082399996,126.8422856426
149,보안등,37.5695410498,126.8423283516
150,보안등,37.5697448822,126.84241644030001
151,보안등,37.569303821700004,126.8428041541
152,보안등,37.5696254623,126.84292867149999
153,보안등,37.5691176713,126.8432748661
154,보안등,37.5691176713,126.8432748661
155,보안등,37.5691176713,126.8432748661
156,보안등,37.5691176713,126.8432748661
157,보안등,37.5699844755,126.8441273344
158,보안등,37.5699844755,126.8441273344
159,보안등,37.5699844755,126.8441273344
160,보안등,37.5699844755,126.8441273344
161,보안등,37.5704427974,126.8430965226
162,보안등,37.5702741228,126.8426163608
163,보안등,37.5702741228,126.8426163608
164,보안등,37.5701682007,126.8421700273
165,보안등,37.5706080809,126.84204628129999
166,보안등,37.5701682007,126.8421700273
167,보안등,37.5700599505,126.84240932430001
168,보안등,37.5697365483,126.8419785069
169,보안등,37.5686337622,126.84186730389999
170,보안등,37.5728711605,126.8224883094
171,보안등,37.5725938709,126.8225723953
172,보안등,37.5725938709,126.8225723953
173,보안등,37.5726874871,126.82287430209999
174,보안등,37.5725938709,126.8225723953
175,보안등,37.572124895500004,126.8228670314
176,보안등,37.571842212600004,126.822599648
177,보안등,37.5711859313,126.822961624
178,보안등,37.5711859313,126.822961624
179,보안등,37.5711859313,126.822961624
180,보안등,37.5711859313,126.822961624
181,보안등,37.5711859313,126.822961624
182,보안등,37.5710539381,126.82278308549999
183,보안등,37.5708137454,126.82255137540001
184,보안등,37.5711859313,126.822961624
185,보안등,37.5707639936,126.82320067479999
186,보안등,37.5706325021,126.8233568567
187,보안등,37.5702538347,126.8241552142
188,보안등,37.5701838921,126.8240776133
189,보안등,37.5701195547,126.8232289122
190,보안등,37.5701195547,126.8232289122
191,보안등,37.5701195547,126.8232289122
192,보안등,37.5701195547,126.8232289122
193,보안등,37.5702495832,126.8228782645
194,보안등,37.5702499913,126.8227899709
195,보안등,37.5702495832,126.8228782645
196,보안등,37.5701195547,126.8232289122
197,보안등,37.5701195547,126.8232289122
198,보안등,37.5701195547,126.8232289122
199,보안등,37.5690174294,126.822848922
200,보안등,37.568610663499996,126.8228109469
