,행정동,쓰레기통 수,보안등 수,와이파이 수,실내 와이파이 수,실외 와이파이 수,전체인구,고령자 수,장애인 수,기초 수급자 수,스마트가로등 수
0,가양1동,51,230,220,63,157,34395,3121,831,307,13
1,가양2동,11,9,47,29,18,14109,4134,2458,3330,0
2,가양3동,15,33,48,22,26,15138,3721,1705,2312,0
3,공항동,24,711,67,11,56,31483,4303,1062,1771,17
4,등촌1동,10,333,46,12,34,24436,2934,735,309,3
5,등촌2동,12,412,39,4,35,20423,3187,728,432,0
6,등촌3동,16,78,72,33,39,30714,6761,3827,5507,0
7,발산1동,19,307,32,4,28,36572,4874,1489,1546,0
8,방화1동,16,598,60,14,46,43181,6616,1819,1210,32
9,방화2동,14,769,76,29,47,23656,4857,1604,1698,0
10,방화3동,10,145,41,14,27,22924,5260,2002,2276,0
11,염창동,16,417,63,23,40,41764,4422,1072,233,0
12,우장산동,11,503,72,17,55,43129,5829,1259,694,0
13,화곡1동,24,993,92,14,78,52770,8430,2123,1971,3
14,화곡2동,3,412,32,6,26,18096,2876,774,935,0
15,화곡3동,5,318,48,9,39,21661,4096,854,677,0
16,화곡4동,6,525,52,12,40,20820,3845,966,1228,1
17,화곡6동,16,509,116,68,48,25096,3948,948,1019,0
18,화곡8동,2,542,55,6,49,24789,4444,1054,1145,0
19,화곡본동,6,781,51,9,42,34612,4900,1417,1904,0
